,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Total Shelf Life in Months,Concern,Skin Type,Units Per Bundle,Colour,Brand,Price
0,55835,Women,Personal Care,Bath and Body,Nail Essentials,Summer,2019.0,Casual,Colorbar Acetone Free Nail Enamel Remover,Not specified,Not specified,Not specified,1,White,Colorbar,125
1,57685,Women,Personal Care,Bath and Body,Body Lotion,Spring,2017.0,,Lotus Herbals Almond Nourish Body Lotion with SPF 20,24,General Care,Normal,1,Yellow,Lotus Herbals,270
2,57683,Women,Personal Care,Bath and Body,Body Lotion,Spring,2017.0,Casual,Lotus Herbals Aloe Soft Body Lotion,24,Sun Protection,All,1,Yellow,Lotus Herbals,250
3,55352,Women,Personal Care,Bath and Body,Nail Essentials,Spring,2017.0,Casual,Revlon Extra Fast Nail Polish Remover,Not specified,Not specified,Not specified,1,White,Revlon,150
4,56432,Women,Personal Care,Bath and Body,Nail Essentials,Spring,2017.0,Casual,Streetwear Nail Color Remover,Not specified,Not specified,Not specified,1,Pink,Streetwear,85
5,55836,Women,Personal Care,Bath and Body,Nail Essentials,Spring,2017.0,Casual,Colorbar Nail Polish Remover,Not specified,Not specified,Not specified,1,Blue,Colorbar,65
6,57874,Women,Personal Care,Bath and Body,Body Lotion,Spring,2017.0,Casual,Biotique Bio Coco Butter Tissue Firming Body Balm,36,General Care,All,1,Green,Biotique,180
7,57681,Women,Personal Care,Bath and Body,Body Lotion,Spring,2017.0,,Lotus Herbals Cherry Bliss Body Lotion,24,General Care,All,1,Cream,Lotus Herbals,215
8,57687,Women,Personal Care,Bath and Body,Body Lotion,Spring,2017.0,,Lotus Herbals Vanilla Velvet Body Lotion,24,General Care,All,1,White,Lotus Herbals,195
9,44016,Men,Personal Care,Bath and Body,Body Wash and Scrub,Spring,2017.0,Casual,BOSS Men Selection Shower Gel,Not specified,Not specified,Not specified,Not specified,Silver,BOSS,1250
10,55197,Women,Personal Care,Bath and Body,Nail Essentials,Spring,2017.0,Casual,Lakme Nail Colour Remover,Not specified,Not specified,Not specified,1,Purple,Lakme,90
11,55351,Women,Personal Care,Bath and Body,Nail Essentials,Spring,2017.0,Casual,Revlon Extra Gentle Nail Polish Remover,Not specified,Not specified,Not specified,1,Purple,Revlon,160
