,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Total Shelf Life in Months,Minimum Usable Period in Months,Concern,Type,Colour,Brand,Price
0,55325,Women,Personal Care,Hair,Hair Colour,Spring,2017.0,Casual,Revlon Colorsilk Luminista Golden Brown Hair Colour 120,Not specified,Not specified,Not specified,Not specified,Brown,Revlon,400
1,55516,Women,Personal Care,Hair,Hair Colour,Spring,2017.0,Casual,Revlon Top Speed 60 Natural Brown Ammonia-Free Hair Colour,36,Not specified,Grey Coverage,Chemical,Brown,Revlon,685
2,55518,Women,Personal Care,Hair,Hair Colour,Spring,2017.0,Casual,Revlon Top Speed 65 Dark Brown Ammonia-Free Hair Colour,36,Not specified,Grey Coverage,Chemical,Brown,Revlon,699
3,55324,Women,Personal Care,Hair,Hair Colour,Spring,2017.0,Casual,Revlon Color 'N Care Medium Brown 5N Hair Colour,36,6,Grey Coverage,Chemical,Brown,Revlon,200
4,55323,Women,Personal Care,Hair,Hair Colour,Spring,2017.0,Casual,Revlon Colour 'N Care Natural Black 1N Colour,Not specified,Not specified,Not specified,Not specified,Black,Revlon,200
5,55519,Unisex,Personal Care,Hair,Hair Colour,Spring,2017.0,Casual,Revlon Unisex Top Speed Brownish Black Hair Colour 68,Not specified,Not specified,Not specified,Not specified,"Black, Brown, Beige",Revlon,699
6,55517,Unisex,Personal Care,Hair,Hair Colour,Spring,2017.0,Casual,Revlon Top Speed Natural Black Hair Colour Natural Black 70,36,Not specified,Grey Coverage,Chemical,Black,Revlon,685
7,55330,Women,Personal Care,Hair,Hair Colour,Spring,2017.0,Casual,Revlon Colorsilk 4N Medium Brown Hair Colour,Not specified,Not specified,Not specified,Not specified,Brown,Revlon,350
8,55336,Women,Personal Care,Hair,Hair Colour,Spring,2017.0,Casual,Revlon Colorsilk 1N Black Hair Colour,Not specified,Not specified,Not specified,Not specified,Black,Revlon,350
9,55331,Women,Personal Care,Hair,Hair Colour,Spring,2017.0,Casual,Revlon Women Color Silk Dark Mahogany Brown Hair Colour 3RB,Not specified,Not specified,Not specified,Not specified,Brown,Revlon,350
10,55326,Women,Personal Care,Hair,Hair Colour,Spring,2017.0,Casual,Revlon Color N Care 3N Darkest Brown Permanent Hair Colour Cream,Not specified,Not specified,Not specified,Not specified,Brown,Revlon,200
11,55328,Women,Personal Care,Hair,Hair Colour,Spring,2017.0,Casual,Revlon Color 'N Care 2N Brown Black Hair Colour,Not specified,Not specified,Not specified,Not specified,"Brown, Black",Revlon,200
12,55514,Women,Personal Care,Hair,Hair Colour,Spring,2017.0,Casual,Revlon ColorSilk Luminista Natural Brown Hair Colour 115,Not specified,Not specified,Not specified,Not specified,Brown,Revlon,400
13,55513,Women,Personal Care,Hair,Hair Colour,Spring,2017.0,Casual,Revlon ColorSilk Luminista Golden Brown Hair Colour 120,Not specified,Not specified,Not specified,Not specified,Brown,Revlon,400
14,55329,Women,Personal Care,Hair,Hair Colour,Spring,2017.0,Casual,Revlon Colorsilk 1WN Soft Black Hair Colour,Not specified,Not specified,Not specified,Not specified,Black,Revlon,350
15,55334,Women,Personal Care,Hair,Hair Colour,Spring,2017.0,Casual,Revlon Colorsilk 3N Dark Brown Hair Colour,Not specified,Not specified,Not specified,Not specified,Brown,Revlon,350
16,55333,Women,Personal Care,Hair,Hair Colour,Spring,2017.0,Casual,Revlon Colorsilk 3DB Deep Burgundy Hair Colour,Not specified,Not specified,Not specified,Not specified,Burgundy,Revlon,350
17,55332,Women,Personal Care,Hair,Hair Colour,Spring,2017.0,Casual,Revlon Color Silk Light Golden Brown Hair Colour 5G,Not specified,Not specified,Not specified,Not specified,Brown,Revlon,350
18,55335,Women,Personal Care,Hair,Hair Colour,Spring,2017.0,Casual,Revlon Colorsilk Brown-Black Hair Colour 2N,Not specified,Not specified,Not specified,Not specified,Brown,Revlon,350
