,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Colour,Brand,Price
0,13670,Unisex,Sporting Goods,Sports Equipment,Footballs,Fall,2011.0,Casual,Puma Unisex Liga XL Football,Gold,Puma,899
1,2355,Unisex,Sporting Goods,Sports Equipment,Footballs,Fall,2010.0,Sports,ADIDAS Red Bull Trophy Soccer Unisex Football,"White, Red",ADIDAS,799
2,2354,Unisex,Sporting Goods,Sports Equipment,Basketballs,Winter,2010.0,Sports,ADIDAS Black Bounce Unisex Basketball,"Black, White",ADIDAS,599
3,4010,Unisex,Sporting Goods,Sports Equipment,Basketballs,Summer,2011.0,Sports,Spalding 150 SZ Brown Basketball,Brown,Spalding,499
4,1553,Unisex,Sporting Goods,Sports Equipment,Footballs,Fall,2010.0,Sports,Puma Power Cat Hard Ground Football,"White, Blue",Puma,999
5,1552,Unisex,Sporting Goods,Sports Equipment,Footballs,Fall,2010.0,Sports,Puma Power Cat Trainer-WR Football,"White, Red",Puma,999
6,8422,Unisex,Sporting Goods,Sports Equipment,Basketballs,Fall,2011.0,Sports,Spalding Unisex NBA Highlight Red Basketballs,"Red, Black, Gold",Spalding,699
7,4011,Unisex,Sporting Goods,Sports Equipment,Basketballs,Summer,2011.0,Sports,Spalding Buror Grey Basketball,Grey,Spalding,749
8,4008,Unisex,Sporting Goods,Sports Equipment,Basketballs,Summer,2011.0,Sports,Spalding Unisex Ochre Yellow Basketball,Yellow,Spalding,899
9,2356,Unisex,Sporting Goods,Sports Equipment,Basketballs,Winter,2010.0,Sports,ADIDAS Black & White Unisex Basketball,"Black, White, Blue",ADIDAS,599
10,4007,Unisex,Sporting Goods,Sports Equipment,Basketballs,Summer,2011.0,Sports,Spalding Unisex Nash Orange Basketball,Orange,Spalding,999
11,4009,Unisex,Sporting Goods,Sports Equipment,Basketballs,Summer,2011.0,Casual,Spalding Blue Basketball,Blue,Spalding,699
12,8427,Unisex,Sporting Goods,Sports Equipment,Basketballs,Fall,2011.0,Sports,Spalding Unisex Blue Basketball,"Blue, White, Silver",Spalding,699
13,4013,Unisex,Sporting Goods,Sports Equipment,Basketballs,Summer,2011.0,Casual,Spalding  177z NBA School Brown Basketball,Brown,Spalding,1099
14,1550,Unisex,Sporting Goods,Sports Equipment,Footballs,Fall,2010.0,Sports,Puma Cat Trainer-WBL Football,"White, Black",Puma,999
15,1551,Unisex,Sporting Goods,Sports Equipment,Footballs,Fall,2010.0,Sports,Puma Power Cat Trainer-OB Football,"Orange, Black",Puma,999
16,8426,Unisex,Sporting Goods,Sports Equipment,Basketballs,Fall,2011.0,Sports,Spalding Unisex NBA Team Raptors SZ7 Red Basketball,"Red, Black, Silver",Spalding,699
17,4012,Unisex,Sporting Goods,Sports Equipment,Basketballs,Summer,2011.0,Sports,Spalding 508z Black Basketball,Black,Spalding,699
18,1627,Unisex,Sporting Goods,Sports Equipment,Footballs,Fall,2010.0,Sports,Kipsta F300 Football,"White, Yellow",Kipsta,549
19,1628,Unisex,Sporting Goods,Sports Equipment,Basketballs,Summer,2011.0,Sports,Kipsta Xtra Bounce Basketball,Brown,Kipsta,549
20,1626,Unisex,Sporting Goods,Sports Equipment,Footballs,Summer,2011.0,Sports,Kipsta F300 Football Size 5 Football,Blue,Kipsta,599
